epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3808.65,1.20166,0.92813,0.86416,0.39253,0.40035,0.3424,0.17921,1.48944,1.22922,0.95125,0.000519875,0.000519875,0.000519875
61,3872.1,1.22019,0.93369,0.86428,0.38572,0.40634,0.34935,0.18364,1.48341,1.2059,0.94073,0.0005075,0.0005075,0.0005075
62,3935.52,1.19993,0.93343,0.86123,0.38696,0.40691,0.34879,0.1866,1.47759,1.19346,0.9443,0.000495125,0.000495125,0.000495125
63,3998.88,1.21126,0.93535,0.86368,0.39264,0.39497,0.34148,0.18125,1.48741,1.19683,0.95062,0.00048275,0.00048275,0.00048275
64,4062.1,1.19417,0.90951,0.86028,0.3931,0.40434,0.34423,0.18352,1.48265,1.19452,0.94641,0.000470375,0.000470375,0.000470375
65,4125.43,1.19919,0.91293,0.86101,0.40318,0.40649,0.34724,0.18584,1.47467,1.18856,0.94143,0.000458,0.000458,0.000458
66,4188.79,1.20472,0.91106,0.86234,0.3968,0.39615,0.34667,0.18302,1.47327,1.21306,0.93347,0.000445625,0.000445625,0.000445625
67,4252.06,1.19447,0.91387,0.86137,0.3961,0.40326,0.33836,0.18026,1.46978,1.20404,0.94053,0.00043325,0.00043325,0.00043325
68,4315.56,1.1943,0.90572,0.85988,0.39242,0.40351,0.33843,0.17989,1.46775,1.20677,0.94,0.000420875,0.000420875,0.000420875
69,4378.89,1.19661,0.90372,0.86076,0.40407,0.40009,0.34413,0.18123,1.48646,1.21363,0.94498,0.0004085,0.0004085,0.0004085
70,4442.2,1.1932,0.89234,0.86324,0.41851,0.40019,0.34518,0.18255,1.48347,1.20648,0.94798,0.000396125,0.000396125,0.000396125
71,4505.44,1.19279,0.88509,0.85963,0.39527,0.39874,0.33913,0.17945,1.48933,1.20407,0.94949,0.00038375,0.00038375,0.00038375
72,4568.65,1.18211,0.89316,0.85533,0.39834,0.39035,0.34245,0.1813,1.48528,1.20694,0.94721,0.000371375,0.000371375,0.000371375
73,4631.92,1.17721,0.87323,0.85811,0.39297,0.40911,0.34417,0.18341,1.47981,1.19152,0.94439,0.000359,0.000359,0.000359
74,4695.09,1.1721,0.88352,0.85558,0.39194,0.39206,0.3375,0.18007,1.48534,1.2051,0.94859,0.000346625,0.000346625,0.000346625
75,4758.25,1.17583,0.86554,0.85997,0.40906,0.38839,0.34145,0.17977,1.48801,1.21527,0.94545,0.00033425,0.00033425,0.00033425
76,4821.36,1.17015,0.87118,0.85666,0.40426,0.39427,0.34574,0.18314,1.48222,1.20452,0.94461,0.000321875,0.000321875,0.000321875
77,4884.53,1.16678,0.86398,0.8561,0.39088,0.39935,0.34166,0.1805,1.49121,1.21911,0.95137,0.0003095,0.0003095,0.0003095
78,4947.68,1.1764,0.86847,0.8557,0.38404,0.38926,0.33928,0.17698,1.50087,1.21664,0.94801,0.000297125,0.000297125,0.000297125
79,5010.8,1.16116,0.85056,0.85286,0.39152,0.39415,0.34015,0.1793,1.48705,1.2132,0.9508,0.00028475,0.00028475,0.00028475
80,5073.94,1.1551,0.85982,0.85658,0.38747,0.39846,0.33962,0.18147,1.48916,1.21385,0.95023,0.000272375,0.000272375,0.000272375
81,5137.22,1.14854,0.83909,0.8513,0.39088,0.37687,0.34015,0.17971,1.49173,1.2233,0.94768,0.00026,0.00026,0.00026
82,5200.39,1.14333,0.83977,0.85286,0.39756,0.38082,0.33631,0.1785,1.48966,1.21978,0.94108,0.000247625,0.000247625,0.000247625
83,5263.34,1.1494,0.8428,0.8541,0.38315,0.40108,0.33401,0.17584,1.49027,1.23002,0.94006,0.00023525,0.00023525,0.00023525
84,5326.24,1.12965,0.83155,0.85135,0.39405,0.40052,0.3373,0.17703,1.49254,1.22597,0.94266,0.000222875,0.000222875,0.000222875
85,5389.23,1.13538,0.8281,0.85008,0.38362,0.39734,0.33464,0.17635,1.49919,1.22903,0.94555,0.0002105,0.0002105,0.0002105
86,5452.17,1.12746,0.82074,0.84889,0.39938,0.38587,0.33407,0.17682,1.4929,1.22369,0.94225,0.000198125,0.000198125,0.000198125
87,5515.22,1.13606,0.82137,0.85196,0.39666,0.388,0.33539,0.17642,1.49225,1.22282,0.93879,0.00018575,0.00018575,0.00018575
88,5578.36,1.14813,0.81659,0.85095,0.39384,0.40056,0.3352,0.17542,1.49649,1.22401,0.94094,0.000173375,0.000173375,0.000173375
89,5641.36,1.11964,0.81526,0.84817,0.38479,0.39909,0.33363,0.1741,1.50013,1.23693,0.94129,0.000161,0.000161,0.000161
90,5704.31,1.11784,0.81203,0.84859,0.38936,0.39624,0.33728,0.17736,1.49464,1.22331,0.94245,0.000148625,0.000148625,0.000148625
91,5767.3,1.11313,0.80506,0.8526,0.38159,0.38571,0.33075,0.17405,1.4963,1.23513,0.94173,0.00013625,0.00013625,0.00013625
92,5829.68,1.09025,0.77625,0.84874,0.35818,0.41979,0.32997,0.17409,1.50046,1.23624,0.9401,0.000123875,0.000123875,0.000123875
93,5891.99,1.10319,0.78012,0.84845,0.36056,0.41631,0.33236,0.17383,1.50191,1.24171,0.94056,0.0001115,0.0001115,0.0001115
94,5954.72,1.09455,0.77381,0.8483,0.3607,0.41713,0.33326,0.17359,1.50239,1.2551,0.93857,9.9125e-05,9.9125e-05,9.9125e-05
95,6017.07,1.09633,0.7767,0.84692,0.3574,0.41561,0.32781,0.17018,1.50154,1.26836,0.93667,8.675e-05,8.675e-05,8.675e-05
96,6079.43,1.08947,0.75618,0.84604,0.35883,0.40974,0.32644,0.17064,1.50277,1.2705,0.93838,7.4375e-05,7.4375e-05,7.4375e-05
97,6141.75,1.08068,0.75542,0.84468,0.35727,0.41281,0.32816,0.16993,1.5046,1.26833,0.93994,6.2e-05,6.2e-05,6.2e-05
98,6204.08,1.08092,0.75142,0.84693,0.35341,0.408,0.32552,0.17006,1.50501,1.26887,0.94045,4.9625e-05,4.9625e-05,4.9625e-05
99,6266.53,1.07154,0.74532,0.84446,0.35505,0.41309,0.32359,0.16953,1.50168,1.26638,0.94133,3.725e-05,3.725e-05,3.725e-05
100,6328.82,1.07194,0.7453,0.84433,0.35669,0.40408,0.32354,0.16961,1.50108,1.26808,0.94176,2.4875e-05,2.4875e-05,2.4875e-05
